NAME ,CITY,CAT,MIN_TIME,MAX_TIME,WHAT,WHY,image,IMG
Angel Island,san_francisco,landmark,3,8,"Taking the ferry over and back is part of the experience, but does add a lot of time. Take a picnic lunch if you want to spend the day.",Because it is a fascinating park with amazing views of San Francisco.,https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,http://www.parks.ca.gov/?page_id=468
Winchester Mystery House,san_francisco,landmark,2,3,"Sara Winchester was a troubled heiress who heard spirits. To keep the spirits happy, she continuously added to her home on Winchester Avenue in San Jose, California. You can take a variety of tours.",Because it is weird and spooky fun.,https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,https://winchestermysteryhouse.com/
Monterey Bay Aquarium,san_francisco,museum,2,3,"An aquarium, research station, and teaching institution that is just a short distance from the Pacific Monterey Canyon. Sea otters and harbor seals can be seen in and around the aquarium, along with a lot of fish. One of the best exhibits is a large variety of living jellyfish. Outdoors can include whale sightings as well.",To enjoy the gift that Dave Packard gave his daughter Julie when she became a marine biologist!,https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,https://www.montereybayaquarium.org/
Asian Art Museum,san_francisco,museum,2,4,"The Asian Art museum contains one of the most extensive collections of Asian art in the world, with more than 18,000 works in its permanent collection.  In particular, the Chinese collection, considered to be the best outside of China itself, is a point of pride. That section reveals jade carvings, Buddhist sculptures, decorative ceramics, ritual bronzes, and more.","To see amazing artifacts and artworks, far above any collection outside Asia!",https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,https://asianart.org/
De Young Museum,san_francisco,museum,2,4,"Located in the middle of Golden Gate Park, this 125-year-old museum specializes in art from America, Africa, Oceania, and the Americas. In recent years, it’s become particularly known for its sprawling costume exhibits, from contemporary Muslim fashion to the contemporary designer Oscar de la Renta. The permanent collection spans the gamut from gowns, paintings, and textiles to ancient artifacts.","Don’t miss the Hamon observation tower on the 9th floor: the stunning, glass-encased space overlooks all of Golden Gate Park, downtown San Francisco, the Bay, and the Marin headlands.",https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,https://deyoung.famsf.org/
Beach Blanket Revue,san_francisco,icon,3,3.5,"Wacky, saucy, and uniquely San Franciscan Beach Blanket Babylon claims the title of longest running musical revue in theater history. Its pun-laden send-ups of a shifting array of public figures, pop icons and dubious celebrities are loosely tied together under the auspices of a Snow White tale, but really this is just a vehicle to poke fun at everyone from Kim Kardashian and Hillary Clinton to the British Royal Family and Lady Gaga—all while sporting hats the size of small zeppelins.",Why see this? For the hats!,https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,https://www.beachblanketbabylon.com/
Cable Cars,san_francisco,icon,0.5,1,"Hop aboard for views of Nob Hill, Fisherman’s Wharf, Russian Hill and the Bay. Make a stop-over at the Cable Car museum at Mason and Washington streets to see the giant wheels turning the underground cables that power the cars. The Powell-Hyde line runs from the huge turnaround near Market and Powell, and goes to Fisherman's Wharf near Ghirardelli Square. Insider tip: don't start from one of the turnarounds: instead walk a few blocks down the line, and wave down the cable car there. The lines at the turnarounds can be over an hour long, but there is no line at the middle stops.","Dating from the late 1800s, a ride on one of the three remaining cable car lines is still a classic San Francisco treat and a National Historic landmark.",https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,https://www.sfcablecar.com/
Union Square,san_francisco,icon,0.25,0.5,"Union Square is a public plaza bordered by Geary, Powell, Post and Union Square has one of the largest collections of department stores, upscale boutiques, gift shops, art galleries, and beauty salons in the United States, making ita major tourist destination  Grand hotels and small inns, as well as repertory, off-Broadway, and single-act theaters also contribute to the area's dynamic, 24-hour character. Stockton Streets. ""Union Square"" also refers to the central shopping, hotel, and theater district that surrounds the plaza for several blocks.","Visit the Dewey Monument at the center of Union Square. It is a statue of Nike, the ancient Greek Goddess of Victory.",https://upload.wikimedia.org/wikipedia/commons/c/ca/Sutro_baths_20020112.jpeg,"https://en.wikipedia.org/wiki/Union_Square,_San_Francisco"
Trinity College,dublin,landmark,1,2,"Ireland’s oldest university and one of the world’s top schools, complete with sprawling courtyards, stone bell towers, and ancient manuscripts. In particular, the Long Hall is well worth the visit.","See the book of Kells, a 15th century harp, many marble sculptur, and a mesmerizing collection of 200,000 books in the Long Hall - a stunning wooden library.",https://upload.wikimedia.org/wikipedia/commons/4/4b/Long_Room_Interior%2C_Trinity_College_Dublin%2C_Ireland_-_Diliff.jpg,https://www.timeout.com/dublin/attractions/trinity-college
St Patricks Cathedral,dublin,landmark,0.5,1,"Saint Patrick's Cathedral in Dublin, Ireland, founded in 1191, is the National Cathedral of the Church of Ireland. With its 43-metre spire, St. Patrick's is the tallest church in Ireland and the largest",To marvel at the gothic architecture and see the largest church in Dublin,https://upload.wikimedia.org/wikipedia/commons/a/af/Lady_Chapel_St._Patrick%27s_Cathedral_in_Dublin_012.JPG,na
Christ Church Cathedral,dublin,landmark,0.5,1,"Christ Church Cathedral, more formally The Cathedral of the Holy Trinity, is the cathedral of the United Dioceses of Dublin and Glendalough and the cathedral of the ecclesiastical province of the United Provinces of Dublin and Cashel in the Church of Ireland.",Another stunning example of gothic architecture and located directly opposite St Patricks Cathedral,https://upload.wikimedia.org/wikipedia/commons/f/f3/Christ_Church_Cathedral%2C_Dublin%2C_2016-06-03.jpg,na
The Little Museum,dublin,museum,0.75,1,"Tucked inside a Georgian townhouse on St Stephen’s Green, the Little museum of Dublin feels like a hoarder’s house. Featuring a wealth of cultural paraphernalia, from vintage posters to U2 memorabilia to a cardboard cut-out of Mrs Brown. Entry is through a guided tour only, which is just as well: the characterful staff have great fun telling the stories behind their favourite items.",Quirky and fun. A must-see if you're a U2 fan.,https://upload.wikimedia.org/wikipedia/commons/3/3a/Little_museum_front_room_lo.jpg,https://www.timeout.com/dublin/attractions/trinity-college
Irish Emmigration Museum,dublin,museum,1,2,"The Irish Emigration museum details the movement of millions of Irish people who left their homes in search of opportunity, family and a better life. The museum is promises an interactive and ‘fully immersive’ experience.","Many, many people worldwide claim Irish ancestry – and they’re likely not wrong. With over 10 million leaving Ireland for other lands, it’s no surprise they’ve left their mark on the world in a big way. The tagline of the museum sums it up perfectly: ‘10 million people, many destinations, one museum. Journey with them.’",https://upload.wikimedia.org/wikipedia/commons/7/7a/EPIC_The_Irish_Emigration_museum_I.jpg,na
Irish Whisky Museum,dublin,museum,1,2,"On famed Grafton Street you’ll find the equally notorious Irish Whiskey museum. Aptly named, the museum serves to highlight the past of the good stuff while educating on new brands and the future of Irish whiskey.","Whether you’re a whiskey connoisseur or just love the culture of Dublin, this museum is ultra-modern and stands out among the crowd. There are distillery tours and pop-up breweries in abundance here, but none retell Ireland’s long-standing relationship with the spirit quite so dramatically as this excellent museum.",https://upload.wikimedia.org/wikipedia/commons/5/5b/Irish_Whiskey_museum_bar.jpg,"https://en.wikipedia.org/wiki/Union_Square,_San_Francisco"
Guinness Storehouse,dublin,icon,2,3,"As Ireland’s most-visited attraction for years on end, there’s no escaping the might of the Guinness Storehouse. Make no mistake, it’s a seven-storey exhibition rather than a working brewery (that’s nearby but off-limits). Linger in the advertising section, which looks at its famous vintage posters and creative television ads, and leave plenty of time for the finale: a pint of the black stuff in the Gravity Bar, with sweeping views across Dublin.","FUN for all ages, easy and accessible. This is one of the best things to do in Dublin rain or shine.",https://upload.wikimedia.org/wikipedia/commons/e/ec/Guinness_Storehouse_exterior_3.jpg,https://www.timeout.com/dublin/bars-and-pubs/guinness-storehouse
Dublin Castle,dublin,icon,1.5,2,Dublin Castle is the heart of historic Dublin and is where the city gets its name from the Black Pool - 'Dubh Linn' which was on the site of the present Castle garden. The Castle houses the magnificent State Apartments part of the Viceregal court.,"See the State Apartments, Medieval Undercroft, and Chapel Royal. There's also a tearoom in the State Apartments.",https://upload.wikimedia.org/wikipedia/commons/d/d2/E4395-Dublin-Castle.jpg,https://www.timeout.com/dublin/attractions/dublin-castle
Kilmainham Gaol,dublin,icon,1.5,2,"Kilmainham Gaol is a fascinating former jail-turned-museum, and is yet another moving reminder of Ireland’s turbulent history. Throughout its 300 years of existence, it held everyone from members of the Irish Republican movement to straight-up murderers.","Considered by many a staunch symbol of Irish Nationalism, the Gaol now serves as an educational institute offering tours of its hallowed cells, chapels and grounds.",https://upload.wikimedia.org/wikipedia/commons/4/43/Kilmainham_Gaol_Prison.jpg,https://www.timeout.com/dublin/museums/kilmainham-gaol
